System ID	System	Sub Category	Role	Role Sort	Activity	Activity Sort	RACI
1	FE0E5DF5	0BDF	1.1.1	1	Trustees	1	I
1	FE0E5DF5	0BDF	1.1.1	1	AGL Board	2	I
1	FE0E5DF5	0BDF	1.1.1	1	Arup Group Chair	3	I
1	FE0E5DF5	0BDF	1.1.1	1	AGL CEO	4	I
1	FE0E5DF5	0BDF	1.1.1	1	Executive Board	5	I
1	FE0E5DF5	0BDF	1.1.1	1	Exec Board member	6	I
1	FE0E5DF5	0BDF	1.1.1	1	Market MD	7	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	Trustees	1	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	AGL Board	2	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	Arup Group Chair	3	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	AGL CEO	4	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	Executive Board	5	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	Exec Board member	6	I
1	FE0E5DF5	0BDF	1.1.2 - Apply & enable Arup's purpose, aims and values	2	Market MD	7	I
1	FE0E5DF5	0BDF	1.1.3	3	Trustees	1	I
1	FE0E5DF5	0BDF	1.1.3	3	AGL Board	2	I
1	FE0E5DF5	0BDF	1.1.3	3	Arup Group Chair	3	I
1	FE0E5DF5	0BDF	1.1.3	3	AGL CEO	4	I
1	FE0E5DF5	0BDF	1.1.3	3	Executive Board	5	I
1	FE0E5DF5	0BDF	1.1.3	3	Exec Board member	6	I
1	FE0E5DF5	0BDF	1.1.3	3	Market MD	7	I
1	FE0E5DF5	0BDF	1.2.1	4	Trustees	1	C
1	FE0E5DF5	0BDF	1.2.1	4	AGL Board	2	C
1	FE0E5DF5	0BDF	1.2.1	4	Arup Group Chair	3	C
1	FE0E5DF5	0BDF	1.2.1	4	AGL CEO	4	C
1	FE0E5DF5	0BDF	1.2.1	4	Executive Board	5	C
1	FE0E5DF5	0BDF	1.2.1	4	Exec Board member	6	C
1	FE0E5DF5	0BDF	1.2.1	4	Market MD	7	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	Trustees	1	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	AGL Board	2	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	Arup Group Chair	3	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	AGL CEO	4	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	Executive Board	5	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	Exec Board member	6	C
1	FE0E5DF5	0BDF	1.2.2 - Determine the KPIs & measures of success	5	Market MD	7	C
1	FE0E5DF5	0BDF	1.2.3	6	Trustees	1	I
1	FE0E5DF5	0BDF	1.2.3	6	AGL Board	2	I
1	FE0E5DF5	0BDF	1.2.3	6	Arup Group Chair	3	I
1	FE0E5DF5	0BDF	1.2.3	6	AGL CEO	4	I
1	FE0E5DF5	0BDF	1.2.3	6	Executive Board	5	I
1	FE0E5DF5	0BDF	1.2.3	6	Exec Board member	6	I
1	FE0E5DF5	0BDF	1.2.3	6	Market MD	7	I
1	FE0E5DF5	0BDF	1.2.4 - Implement the IBP to deliver the agreed strategy	7	Trustees	1	I
1	FE0E5DF5	0BDF	1.2.4 - Implement the IBP to deliver the agreed strategy	7	AGL Board	2	I
1	FE0E5DF5	0BDF	1.2.4 - Implement the IBP to deliver the agreed strategy	7	Arup Group Chair	3	I
1	FE0E5DF5	0BDF	1.2.4 - Implement the IBP to deliver the agreed strategy	7	AGL CEO	4	I
1	FE0E5DF5	0BDF	1.2.4 - Implement the IBP to deliver the agreed strategy	7	Executive Board	5	I
1	FE0E5DF5	0BDF	1.2.4 - Implement the IBP to deliver the agreed strategy	7	Exec Board member	6	I
