System ID	System	Sub Category	Role	Role Sort	Activity	Activity Sort	RACI
1	1.0_Strategic_direction	0BDF	1.1.1	1	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.1.1	1	AGL Board	2	I
1	1.0_Strategic_direction	0BDF	1.1.1	1	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.1.1	1	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.1.1	1	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.1.1	1	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.1.1	1	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	AGL Board	2	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.1.2	2	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	AGL Board	2	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.1.3	3	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.2.1	4	Trustees	1	C
1	1.0_Strategic_direction	0BDF	1.2.1	4	AGL Board	2	C
1	1.0_Strategic_direction	0BDF	1.2.1	4	Arup Group Chair	3	C
1	1.0_Strategic_direction	0BDF	1.2.1	4	AGL CEO	4	C
1	1.0_Strategic_direction	0BDF	1.2.1	4	Executive Board	5	C
1	1.0_Strategic_direction	0BDF	1.2.1	4	Exec Board member	6	C
1	1.0_Strategic_direction	0BDF	1.2.1	4	Market MD	7	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	Trustees	1	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	AGL Board	2	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	Arup Group Chair	3	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	AGL CEO	4	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	Executive Board	5	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	Exec Board member	6	C
1	1.0_Strategic_direction	0BDF	1.2.2	5	Market MD	7	C
1	1.0_Strategic_direction	0BDF	1.2.3	6	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.2.3	6	AGL Board	2	I
1	1.0_Strategic_direction	0BDF	1.2.3	6	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.2.3	6	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.2.3	6	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.2.3	6	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.2.3	6	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	AGL Board	2	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.2.4	7	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.3.1	8	Trustees	1	C
1	1.0_Strategic_direction	0BDF	1.3.1	8	AGL Board	2	C
1	1.0_Strategic_direction	0BDF	1.3.1	8	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.3.1	8	AGL CEO	4	C
1	1.0_Strategic_direction	0BDF	1.3.1	8	Executive Board	5	C
1	1.0_Strategic_direction	0BDF	1.3.1	8	Exec Board member	6	C
1	1.0_Strategic_direction	0BDF	1.3.1	8	Market MD	7	C
1	1.0_Strategic_direction	0BDF	1.3.2	9	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.3.2	9	AGL Board	2	I
1	1.0_Strategic_direction	0BDF	1.3.2	9	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.3.2	9	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.3.2	9	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.3.2	9	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.3.2	9	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.3.3	10	Trustees	1	I
1	1.0_Strategic_direction	0BDF	1.3.3	10	AGL Board	2	C
1	1.0_Strategic_direction	0BDF	1.3.3	10	Arup Group Chair	3	I
1	1.0_Strategic_direction	0BDF	1.3.3	10	AGL CEO	4	I
1	1.0_Strategic_direction	0BDF	1.3.3	10	Executive Board	5	I
1	1.0_Strategic_direction	0BDF	1.3.3	10	Exec Board member	6	I
1	1.0_Strategic_direction	0BDF	1.3.3	10	Market MD	7	I
1	1.0_Strategic_direction	0BDF	1.3.4	11	Trustees	1	C
1	1.0_Strategic_direction	0BDF	1.3.4	11	AGL Board	2	C
1	1.0_Strategic_direction	0BDF	1.3.4	11	Arup Group Chair	3	C
1	1.0_Strategic_direction	0BDF	1.3.4	11	AGL CEO	4	C
1	1.0_Strategic_direction	0BDF	1.3.4	11	Executive Board	5	C
1	1.0_Strategic_direction	0BDF	1.3.4	11	Exec Board member	6	C
1	1.0_Strategic_direction	0BDF	1.3.4	11	Market MD	7	C
1	1.0_Strategic_direction	CC0D	1.1.1	1	Trustees	1	A
